Date,Scrip,Open,High,Low,Close,PreClose,AdjClose,Volume,Value,Trade,Change,DateString,DateEpoch
/Date(1692144000000)/,ACI,260.2,260.2,260.2,260.2,0,0,57,0,0,0,16/08/2023 00:00:00,1692144000000
/Date(1692230400000)/,ACI,260.2,260.2,260.2,260.2,0,0,1002,0,0,0,17/08/2023 00:00:00,1692230400000
/Date(1692489600000)/,ACI,260.2,260.2,260.2,260.2,0,0,149,0,0,0,20/08/2023 00:00:00,1692489600000
/Date(1692576000000)/,ACI,260.2,260.2,260.2,260.2,0,0,12277,0,0,0,21/08/2023 00:00:00,1692576000000
/Date(1692662400000)/,ACI,260.2,260.2,260.2,260.2,0,0,23,0,0,0,22/08/2023 00:00:00,1692662400000
/Date(1692748800000)/,ACI,260.2,260.2,260.2,260.2,0,0,202,0,0,0,23/08/2023 00:00:00,1692748800000
/Date(1692835200000)/,ACI,260.2,260.2,260.2,260.2,0,0,2,0,0,0,24/08/2023 00:00:00,1692835200000
/Date(1693094400000)/,ACI,260.2,260.2,260.2,260.2,0,0,5,0,0,0,27/08/2023 00:00:00,1693094400000
/Date(1693180800000)/,ACI,260.2,260.2,260.2,260.2,0,0,1,0,0,0,28/08/2023 00:00:00,1693180800000
/Date(1693267200000)/,ACI,260.2,260.2,260.2,260.2,0,0,122,0,0,0,29/08/2023 00:00:00,1693267200000
/Date(1693353600000)/,ACI,260.2,260.2,260.2,260.2,0,0,5,0,0,0,30/08/2023 00:00:00,1693353600000
/Date(1693440000000)/,ACI,260.2,260.2,260.2,260.2,0,0,152,0,0,0,31/08/2023 00:00:00,1693440000000
/Date(1693699200000)/,ACI,260.2,260.2,260.2,260.2,0,0,39,0,0,0,03/09/2023 00:00:00,1693699200000
/Date(1693785600000)/,ACI,260.2,260.2,260.2,260.2,0,0,57,0,0,0,04/09/2023 00:00:00,1693785600000
/Date(1693872000000)/,ACI,260.2,260.2,260.2,260.2,0,0,60,0,0,0,05/09/2023 00:00:00,1693872000000
/Date(1694044800000)/,ACI,260.2,260.2,260.2,260.2,0,0,25,0,0,0,07/09/2023 00:00:00,1694044800000
/Date(1694304000000)/,ACI,260.2,260.2,260.2,260.2,0,0,327,0,0,0,10/09/2023 00:00:00,1694304000000
/Date(1694390400000)/,ACI,260.2,260.2,260.2,260.2,0,0,733,0,0,0,11/09/2023 00:00:00,1694390400000
/Date(1694476800000)/,ACI,260.2,260.2,260.2,260.2,0,0,34,0,0,0,12/09/2023 00:00:00,1694476800000
/Date(1694563200000)/,ACI,260.2,260.2,260.2,260.2,0,0,501,0,0,0,13/09/2023 00:00:00,1694563200000
/Date(1694649600000)/,ACI,260.2,260.2,260.2,260.2,0,0,13,0,0,0,14/09/2023 00:00:00,1694649600000
/Date(1694908800000)/,ACI,260.2,260.2,260.2,260.2,0,0,19,0,0,0,17/09/2023 00:00:00,1694908800000
/Date(1694995200000)/,ACI,260.2,260.2,260.2,260.2,0,0,45,0,0,0,18/09/2023 00:00:00,1694995200000
/Date(1695081600000)/,ACI,260.2,260.2,260.2,260.2,0,0,18,0,0,0,19/09/2023 00:00:00,1695081600000
/Date(1695168000000)/,ACI,260.2,260.2,260.2,260.2,0,0,542,0,0,0,20/09/2023 00:00:00,1695168000000
/Date(1695254400000)/,ACI,260.2,260.2,260.2,260.2,0,0,89,0,0,0,21/09/2023 00:00:00,1695254400000
/Date(1695513600000)/,ACI,260.2,260.2,260.2,260.2,0,0,103,0,0,0,24/09/2023 00:00:00,1695513600000
/Date(1695600000000)/,ACI,260.2,260.2,260.2,260.2,0,0,29,0,0,0,25/09/2023 00:00:00,1695600000000
/Date(1695772800000)/,ACI,260.2,260.2,260.2,260.2,0,0,7,0,0,0,27/09/2023 00:00:00,1695772800000
/Date(1696118400000)/,ACI,260.2,260.2,260.2,260.2,0,0,76,0,0,0,01/10/2023 00:00:00,1696118400000
/Date(1696204800000)/,ACI,260.2,260.2,260.2,260.2,0,0,119,0,0,0,02/10/2023 00:00:00,1696204800000
/Date(1696291200000)/,ACI,260.2,260.2,260.2,260.2,0,0,41,0,0,0,03/10/2023 00:00:00,1696291200000
/Date(1696377600000)/,ACI,260.2,260.2,260.2,260.2,0,0,20,0,0,0,04/10/2023 00:00:00,1696377600000
/Date(1696464000000)/,ACI,260.2,260.2,260.2,260.2,0,0,1,0,0,0,05/10/2023 00:00:00,1696464000000
